iter	Passed	Remaining
0	8	8066
1	10	5336
2	15	5187
3	20	5157
4	25	5171
5	29	4871
6	33	4712
7	36	4538
8	38	4233
9	41	4095
10	43	3901
11	45	3721
12	49	3730
13	50	3560
14	51	3410
15	53	3297
16	55	3185
17	57	3131
18	59	3063
19	62	3046
20	66	3101
21	69	3109
22	74	3165
23	77	3137
24	78	3080
25	80	3024
26	85	3082
27	90	3140
28	95	3199
29	101	3270
30	106	3335
31	111	3385
32	117	3435
33	122	3484
34	127	3528
35	133	3570
36	137	3571
37	142	3610
38	145	3587
39	149	3577
40	152	3565
41	157	3581
42	162	3623
43	168	3662
44	174	3708
45	179	3721
46	183	3714
47	188	3746
48	193	3753
49	197	3756
50	202	3763
51	209	3811
52	210	3766
53	212	3716
54	213	3671
55	214	3622
56	216	3581
57	218	3545
58	220	3517
59	221	3477
60	223	3445
61	225	3418
62	227	3383
63	232	3403
64	237	3415
65	239	3384
66	240	3353
67	241	3312
68	247	3337
69	251	3347
70	257	3370
71	262	3389
72	267	3397
73	272	3409
74	276	3414
75	279	3397
76	281	3374
77	283	3350
78	287	3354
79	292	3360
80	297	3380
81	304	3404
82	309	3423
83	312	3410
84	314	3381
85	316	3364
86	317	3336
87	320	3323
88	322	3303
89	325	3294
90	329	3295
91	334	3298
92	340	3320
93	344	3320
94	346	3305
95	349	3290
96	350	3266
97	354	3266
98	356	3243
99	362	3260
100	365	3250
101	366	3225
102	368	3208
103	370	3189
104	371	3169
105	375	3165
106	378	3157
107	380	3142
108	383	3131
109	386	3128
110	391	3131
111	394	3125
112	396	3110
113	399	3107
114	404	3116
115	407	3102
116	410	3096
117	412	3081
118	414	3071
119	416	3053
120	418	3038
121	420	3024
122	423	3020
123	425	3002
124	427	2990
125	429	2982
126	432	2970
127	434	2956
128	437	2953
129	440	2946
130	443	2939
131	445	2928
132	447	2915
133	451	2915
134	453	2908
135	456	2899
136	458	2890
137	463	2893
138	467	2894
139	469	2883
140	472	2876
141	476	2878
142	480	2882
143	483	2872
144	484	2859
145	486	2845
146	488	2834
147	490	2824
148	491	2808
149	492	2793
150	494	2778
151	495	2763
152	497	2751
153	499	2744
154	501	2736
155	504	2728
156	509	2735
157	514	2742
158	517	2738
159	520	2732
160	523	2728
161	526	2722
162	531	2729
163	535	2727
164	541	2740
165	545	2743
166	550	2746
167	552	2737
168	555	2733
169	559	2733
170	563	2733
171	569	2739
172	571	2731
173	574	2726
174	579	2733
175	585	2742
176	588	2735
177	589	2724
178	592	2719
179	595	2711
180	597	2705
181	600	2700
182	603	2694
183	606	2689
184	609	2685
185	612	2681
186	619	2693
187	622	2688
188	624	2681
189	626	2672
190	629	2665
191	631	2659
192	636	2661
193	640	2659
194	643	2656
195	645	2649
196	648	2644
197	653	2645
198	657	2644
199	658	2635
200	661	2630
201	664	2623
202	667	2618
203	669	2612
204	672	2606
205	674	2599
206	676	2593
207	680	2590
208	683	2587
209	686	2583
210	690	2580
211	693	2576
212	696	2571
213	699	2567
214	701	2561
215	704	2558
216	708	2556
217	711	2552
218	713	2546
219	716	2538
220	718	2532
221	720	2526
222	722	2518
223	725	2514
224	728	2507
225	730	2502
226	732	2495
227	735	2488
228	737	2482
229	739	2476
230	743	2473
231	746	2471
232	749	2466
233	752	2463
234	755	2458
235	758	2453
236	760	2447
237	762	2441
